date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-09-14,ferro carril oeste,san miguel,0,1,0.8285714285714285,0.11428571428571432,6,1,0.167,4,6,52,27,52.333,6,2,0.333,5,5,55,35,47.667,1,-1,gana_visitante,2
2025-09-14,san telmo,central norte,3,1,0.5142857142857142,0.4285714285714286,6,1,0.167,3,8,54,26,54.333,6,1,0.167,1,4,42,19,50.167,4,2,gana_local,2
2025-09-14,talleres (re),colon,2,0,0.5142857142857142,0.1428571428571429,6,2,0.333,4,8,64,34,49.167,6,0,0.0,1,9,60,27,49.167,2,2,gana_local,2
2025-09-14,tristan suarez,colegiales,2,2,0.5142857142857142,0.8285714285714285,6,2,0.333,5,3,38,21,47.167,6,2,0.333,5,4,38,21,44.667,4,0,empate,2
2025-09-14,nueva chicago,gimnasia jujuy,1,0,0.6,0.02857142857142858,6,0,0.0,3,9,44,21,49.167,6,3,0.5,8,2,42,27,53.333,1,1,gana_local,2
2025-09-14,los andes,almagro,1,0,0.05714285714285716,0.08571428571428574,6,2,0.333,4,2,43,20,46.333,6,1,0.167,7,7,75,42,50.5,1,1,gana_local,2
2025-09-14,gimnasia y tiro,arsenal sarandi,3,0,0.17142857142857137,0.0,6,2,0.333,5,4,59,28,50.5,6,3,0.5,8,5,81,40,52.333,3,3,gana_local,2
2025-09-13,deportivo moron,temperley,0,1,0.6285714285714286,0.08571428571428574,6,4,0.667,7,4,60,32,50.5,6,1,0.167,2,2,37,22,51.0,1,-1,gana_visitante,2
2025-09-13,ca estudiantes,defensores unidos,3,0,0.8857142857142857,0.17142857142857137,6,4,0.667,10,2,57,35,48.167,6,1,0.167,5,8,42,24,47.0,3,3,gana_local,2
2025-09-13,def de belgrano,chaco for ever,0,0,0.8571428571428572,0.2571428571428571,6,3,0.5,7,5,51,25,51.0,6,2,0.333,4,5,61,30,50.167,0,0,empate,2
2025-09-08,colon,estudiantes rio cuarto,0,1,0.08571428571428574,0.19999999999999996,6,0,0.0,1,10,53,23,48.833,6,4,0.667,7,4,57,34,49.333,1,-1,gana_visitante,2
2025-09-08,quilmes,ferro carril oeste,0,0,0.11428571428571432,0.7142857142857143,6,2,0.333,6,6,46,27,51.167,6,1,0.167,4,9,58,29,52.667,0,0,empate,2
2025-09-08,alte brown,san telmo,1,0,0.22857142857142854,0.7714285714285715,6,1,0.167,6,8,38,20,48.667,6,2,0.333,5,8,55,30,53.5,1,1,gana_local,2
2025-09-08,alvarado,deportivo maipu,0,0,0.6,0.6285714285714286,6,0,0.0,1,5,48,13,46.167,6,2,0.333,6,6,59,30,50.5,0,0,empate,2
2025-09-08,arsenal sarandi,tristan suarez,0,0,0.0,0.5428571428571429,6,4,0.667,13,7,85,48,51.5,6,3,0.5,7,4,50,31,48.667,0,0,empate,2
2025-09-07,chaco for ever,chacarita,0,0,0.48571428571428577,0.11428571428571432,6,3,0.5,6,6,55,29,50.333,6,1,0.167,5,6,44,20,50.667,0,0,empate,2
2025-09-07,racing cordoba,patronato,1,0,0.2857142857142857,0.6,6,1,0.167,5,8,73,40,49.667,6,2,0.333,2,3,50,23,53.333,1,1,gana_local,2
2025-09-07,central norte,agropecuario,0,2,0.2571428571428571,0.6857142857142857,6,2,0.333,3,2,35,17,49.5,6,3,0.5,9,6,79,49,50.333,2,-2,gana_visitante,2
2025-09-07,deportivo madryn,los andes,1,0,0.9142857142857143,0.3142857142857143,6,4,0.667,14,7,72,47,52.833,6,2,0.333,5,3,54,27,46.5,1,1,gana_local,2
2025-09-07,ca mitre,def de belgrano,1,2,0.22857142857142854,0.8857142857142857,6,1,0.167,7,8,63,37,47.5,6,2,0.333,6,6,54,25,51.333,3,-1,gana_visitante,2
2025-09-07,gimnasia mendoza,gimnasia jujuy,1,0,0.4285714285714286,0.0,6,3,0.5,6,4,60,25,52.833,6,3,0.5,8,2,50,30,55.0,1,1,gana_local,2
2025-09-06,atlanta,club a guemes,1,0,0.34285714285714286,0.8857142857142857,6,2,0.333,6,4,58,34,49.333,6,1,0.167,6,9,68,30,52.667,1,1,gana_local,2
2025-09-05,ca estudiantes,nueva chicago,2,0,0.9428571428571428,0.8571428571428572,6,4,0.667,10,2,61,36,49.0,6,1,0.167,4,7,41,20,48.333,2,2,gana_local,2
2025-09-05,all boys,gimnasia y tiro,1,1,0.2857142857142857,0.4,6,3,0.5,4,3,37,18,45.833,6,3,0.5,6,3,72,33,52.5,2,0,empate,2
2025-09-05,temperley,talleres (re),1,0,0.34285714285714286,0.7142857142857143,6,1,0.167,2,2,38,22,50.0,6,3,0.5,6,7,67,38,50.167,1,1,gana_local,2
2025-09-05,colegiales,san martin tuc,2,0,0.7714285714285715,0.19999999999999996,6,2,0.333,4,4,34,19,46.0,6,1,0.167,3,9,54,28,52.0,2,2,gana_local,2
2025-09-05,defensores unidos,deportivo moron,0,1,0.17142857142857137,0.37142857142857144,6,2,0.333,8,9,49,31,47.5,6,3,0.5,6,4,55,27,49.0,1,-1,gana_visitante,2
2025-09-05,san miguel,almagro,1,1,0.3142857142857143,0.02857142857142858,6,2,0.333,6,9,52,34,48.0,6,1,0.167,6,7,64,31,50.167,2,0,empate,2
2025-09-02,ferro carril oeste,racing cordoba,2,2,0.6857142857142857,0.6,6,1,0.167,3,8,56,31,52.0,6,2,0.333,5,7,84,42,52.667,4,0,empate,2
2025-09-01,def de belgrano,colon,1,0,0.9428571428571428,0.05714285714285716,6,1,0.167,5,8,50,21,51.0,6,1,0.167,5,12,57,31,47.833,1,1,gana_local,2
2025-09-01,nueva chicago,gimnasia mendoza,1,1,0.7714285714285715,0.7142857142857143,6,1,0.167,3,6,39,18,50.167,6,4,0.667,7,3,54,25,53.333,2,0,empate,2
